Network_zones,Network_Lines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,Line_Max_Flow_MW,Line_Min_Flow_MW,transmission_path_name,distance_mile,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr
z1,1,1,0,0,0,-1,0,0,0,0,0,0,0,2400,-2400,AZ_to_NM,292.3912,0.0292,0,2.8654
z2,2,1,0,0,0,0,-1,0,0,0,0,0,0,4727,-4785,AZ_to_NV,443.8386,0.0444,0,4.3496
z3,3,1,0,0,0,0,0,0,0,-1,0,0,0,1910,-1331,AZ_to_SD_IID,265.5368,0.0266,0,2.6022
z4,4,1,0,0,0,0,0,0,0,0,-1,0,0,2884,-2436,AZ_to_SoCal,333.3326,0.0333,0,5.3083
z5,5,1,0,0,0,0,0,0,0,0,0,-1,0,250,-250,AZ_to_UT,347.1878,0.0347,0,3.4024
z6,6,0,1,0,0,-1,0,0,0,0,0,0,0,614,-664,CO_to_NM,319.1407,0.0319,0,3.1276
z7,7,0,1,0,0,0,0,0,0,0,0,-1,0,650,-650,CO_to_UT,328.168,0.0328,0,3.216
z8,8,0,1,0,0,0,0,0,0,0,0,0,-1,1400,-1400,CO_to_WY,291.4711,0.0291,0,2.8564
z9,9,0,0,1,-1,0,0,0,0,0,0,0,0,200,-325,ID_to_MT,267.8715,0.0268,0,2.6251
z10,10,0,0,1,0,0,-1,0,0,0,0,0,0,350,-185,ID_to_NV,330.4035,0.033,0,3.2379
z11,11,0,0,1,0,0,0,0,-1,0,0,0,0,2850,-1650,ID_to_PNW,312.0112,0.0312,0,3.0577
z12,12,0,0,1,0,0,0,0,0,0,0,-1,0,680,-775,ID_to_UT,339.32,0.0339,0,3.3253
,13,0,0,1,0,0,0,0,0,0,0,0,-1,1500,-3700,ID_to_WY,363.6136,0.0364,0,3.5634
,14,0,0,0,1,0,0,0,-1,0,0,0,0,2800,-500,MT_to_PNW,451.7433,0.0452,0,4.4271
,15,0,0,0,1,0,0,0,0,0,0,0,-1,400,-200,MT_to_WY,338.1795,0.0338,0,3.3141
,16,0,0,0,0,1,0,0,0,0,0,-1,0,300,-350,NM_to_UT,439.3163,0.0439,0,4.3053
,17,0,0,0,0,0,1,-1,0,0,0,0,0,100,-100,NV_to_NorCal,258.7421,0.0259,0,4.1204
,18,0,0,0,0,0,1,0,-1,0,0,0,0,300,-300,NV_to_PNW,450.9496,0.0451,0,4.4193
,19,0,0,0,0,0,1,0,0,0,-1,0,0,4000,-6697,NV_to_SoCal,285.1334,0.0285,0,4.5407
,20,0,0,0,0,0,1,0,0,0,0,-1,0,485,-500,NV_to_UT,264.712,0.0265,0,2.5942
,21,0,0,0,0,0,0,1,-1,0,0,0,0,3675,-4200,NorCal_to_PNW,463.8916,0.0464,0,7.3874
,22,0,0,0,0,0,0,1,0,0,-1,0,0,3675,-3000,NorCal_to_SoCal,316.4091,0.0316,0,6.9768
,23,0,0,0,0,0,0,0,1,0,-1,0,0,2600,-2858,PNW_to_SoCal,707.9778,0.0708,0,11.2745
,24,0,0,0,0,0,0,0,0,1,-1,0,0,1873,-1873,SD_IID_to_SoCal,171.9427,0.0172,0,2.7382
,25,0,0,0,0,0,0,0,0,0,1,-1,0,1400,-1920,SoCal_to_UT,421.8767,0.0422,0,6.7183
,26,0,0,0,0,0,0,0,0,0,0,1,-1,1600,-1800,UT_to_WY,348.7512,0.0349,0,3.4177
